ID,Name_lang,HordeName_lang,EffectArg_0,EffectArg_1,EffectArg_2,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,GemItemID,TransmogUnlockConditionID,TransmogCost,IconFileDataID,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect_0,Effect_1,Effect_2,ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
1,"Trinca-pedra 3",,15568,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,1,0,3,0,0,0,0,0,0,0
2,"Marca Gélida 1",,8034,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,1,0,1,0,0,0,0,0,0,0
3,"Labaredas 3",,436519,415138,0,0,0,0,0,0,0,0,100,0,0,32,1,0,0,1,0,3,3,0,0,0,0,0,0
4,"Labaredas 2",,436519,415138,0,0,0,0,0,0,0,0,100,0,0,32,1,0,0,1,0,3,3,0,0,0,0,0,0
5,"Labareda 1",,436519,415138,0,0,0,0,0,0,0,0,100,0,0,32,1,0,0,1,0,3,3,0,0,0,0,0,0
6,"Trinca-pedra 2",,15567,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,1,0,3,0,0,0,0,0,0,0
7,"Veneno Mortal",,2818,0,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,60,1,0,0,0,0,0,0,0
8,"Veneno Mortal II",,2819,0,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,75,1,0,0,0,0,0,0,0
9,"Veneno (15 Dano)",,2820,0,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0
10,"Veneno (20 Dano)",,2821,0,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0
11,"Veneno (25 Dano)",,2822,0,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0
12,"Marca Gélida 2",,8037,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,1,0,1,0,0,0,0,0,0,0
13,"Afiado +3",,0,0,0,0,0,0,0,0,0,0,3,0,0,28,0,0,0,1,0,2,0,0,0,0,0,0,0
14,"Afiado +4",,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0,0,0,1,0,2,0,0,0,0,0,0,0
15,"Armadura Reforçada +8",,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
16,"Armadura Reforçada +16",,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
17,"Armadura Reforçada +24",,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
18,"Armadura Reforçada +32",,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
19,"Balanceado +2",,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
20,"Balanceado +3",,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
21,"Balanceado +4",,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
22,"Veneno Debilitante",,3409,0,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0
23,"Veneno Entorpecente II",,8692,0,0,0,0,0,0,0,0,0,20,0,0,26,1,0,0,1,75,1,0,0,0,0,0,0,0
24,"Mana +5",,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
25,"Óleo de Sombra",,350026,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
26,"Óleo Gélido",,350025,0,0,0,0,0,0,0,0,0,10,0,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0
27,Partido,,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
28,"+4 Todas as resistências",,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
29,"Trinca-pedra 1",,10400,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,1,0,3,0,0,0,0,0,0,0
30,"Mira (+1 Dano)",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
