ID,Name_lang,HordeName_lang,Duration,EffectArg_0,EffectArg_1,EffectArg_2,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,IconFileDataID,ItemLevelMin,ItemLevelMax,TransmogUseConditionID,TransmogCost,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect_0,Effect_1,Effect_2,ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
13,"무기 연마 II",,3600,0,0,0,1,0,0,0,10,320,0,0,1,0,0,28,33,0,0,5,0,2,0,0,-1,0,0,0,1
14,"무기 연마 III",,3600,0,0,0,0.36370000243,0,0,0,10,320,0,0,2,0,0,28,33,0,0,15,0,2,0,0,-1,0,0,0,7
15,"방어도 보강 (방어도 +$k1)",,0,0,0,0,0.0719999969,0,0,0,0,320,0,0,8,0,0,0,32,0,0,1,0,4,0,0,-1,0,0,0,25
16,"방어도 보강 (방어도 +$k1)",,0,0,0,0,0.0719999969,0,0,0,10,320,0,0,16,0,0,0,32,0,0,5,0,4,0,0,-1,0,0,0,25
17,"방어도 보강 (방어도 +$k1)",,0,0,0,0,0.10000000149,0,0,0,10,320,0,0,24,0,0,0,32,0,0,20,0,4,0,0,-1,0,0,0,25
18,"방어도 보강 (방어도 +$k1)",,0,0,0,0,0.12999999523,0,0,0,10,320,0,0,32,0,0,0,32,0,0,30,0,4,0,0,-1,0,0,0,25
19,"무게 증강 I",,3600,0,0,0,0.66670000553,0,0,0,0,320,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
20,"무게 증강 II",,3600,0,0,0,1,0,0,0,10,320,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
21,"무게 증강 III",,3600,0,0,0,0.36370000243,0,0,0,10,320,0,0,2,0,0,0,33,0,0,15,0,2,0,0,-1,0,0,0,7
24,"마나 +$k1",,0,0,0,0,0.10000000149,0,0,0,0,320,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
25,"암흑 기름",,1800,14122,0,0,0,0,0,0,10,320,0,0,15,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,11
