ID,SpellID,Reagent_0,Reagent_1,Reagent_2,Reagent_3,Reagent_4,Reagent_5,Reagent_6,Reagent_7,ReagentCount_0,ReagentCount_1,ReagentCount_2,ReagentCount_3,ReagentCount_4,ReagentCount_5,ReagentCount_6,ReagentCount_7
19416,10015,3860,6037,7910,7081,7966,4304,0,0,30,16,6,4,8,6,0,0
19417,130,17056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19418,546,17058,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19419,491,5517,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19420,693,6265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19421,697,6265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19422,698,6265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19423,818,4470,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19424,857,5518,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19425,691,6265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19426,712,6265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19427,1122,5565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19428,2544,2674,2678,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19430,898,878,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19431,2795,2886,2894,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19432,2541,2673,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19433,2542,723,2678,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19434,2543,729,730,731,0,0,0,0,0,1,1,1,0,0,0,0,0
19435,2399,2997,2321,2605,0,0,0,0,0,2,2,1,0,0,0,0,0
19436,2539,2672,2678,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19437,1706,17056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19440,2540,769,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19441,1098,6265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19442,3011,5026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
