ID,Name_lang,HordeName_lang,EffectArg_0,EffectArg_1,EffectArg_2,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,GemItemID,TransmogUnlockConditionID,TransmogCost,IconFileDataID,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect_0,Effect_1,Effect_2,ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
1,石化3,,0,0,0,0,0,0,0,0,0,0,6,0,0,61,9,0,0,1,0,6,0,0,0,0,0,0,0
2,冰封1,,8034,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,0,1,0,1,0,0,0,0,0,0,0
3,火舌3,,15568,0,0,0,0,0,0,0,0,0,100,0,0,32,9,0,0,1,0,3,0,0,0,0,0,0,0
4,火舌2,,15567,0,0,0,0,0,0,0,0,0,100,0,0,32,9,0,0,1,0,3,0,0,0,0,0,0,0
5,火舌1,,10400,0,0,0,0,0,0,0,0,0,100,0,0,32,9,0,0,1,0,3,0,0,0,0,0,0,0
6,石化2,,0,0,0,0,0,0,0,0,0,0,4,0,0,61,9,0,0,1,0,6,0,0,0,0,0,0,0
7,致命毒藥,,2818,0,0,0,0,0,0,0,0,0,30,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
8,"致命毒藥 II",,2819,0,0,0,0,0,0,0,0,0,30,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
9,毒藥(15傷害),,2820,0,0,0,0,0,0,0,0,0,30,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
10,毒藥(20傷害),,2821,0,0,0,0,0,0,0,0,0,30,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
11,毒藥(25傷害),,2822,0,0,0,0,0,0,0,0,0,30,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
12,冰封2,,8037,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,0,1,0,1,0,0,0,0,0,0,0
13,磨快(+3傷害),,0,0,0,0,0,0,0,0,0,0,3,0,0,28,0,0,0,1,0,2,0,0,0,0,0,0,0
14,磨快(+4傷害),,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0,0,0,1,0,2,0,0,0,0,0,0,0
15,+8強化護甲,,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
16,+16強化護甲,,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
17,+24強化護甲,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
18,+32強化護甲,,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
19,增重(+2傷害),,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
20,增重(+3傷害),,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
21,增重(+4傷害),,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
22,致殘毒藥,,3409,0,0,0,0,0,0,0,0,0,50,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
23,"麻痹毒藥 II",,8692,0,0,0,0,0,0,0,0,0,20,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
24,+5法力,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
25,暗影之油,,705,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
26,冰霜之油,,205,0,0,0,0,0,0,0,0,0,10,0,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0
27,破甲,,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
28,+4所有抗性,,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
29,石化1,,0,0,0,0,0,0,0,0,0,0,2,0,0,61,9,0,0,1,0,6,0,0,0,0,0,0,0
30,瞄準鏡(+1傷害),,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0
31,+4屠獸,,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
32,瞄準鏡(+2傷害),,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,10,0
33,瞄準鏡(+3傷害),,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,20,0
34,平衡錘(+20加速等級),,36,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
35,麻痹毒藥,,5760,0,0,0,0,0,0,0,0,0,50,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
36,附魔:熾炎,,6297,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
37,鋼質武器鍊,,43588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
38,+5防禦等級,,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
39,磨快(+1傷害),,26596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
40,磨快(+2傷害),,0,0,0,0,0,0,0,0,0,0,2,0,0,28,0,0,0,1,0,2,0,0,0,0,0,0,0
41,+5生命力,,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
42,毒藥(速效20),,6647,0,0,0,0,0,0,0,0,0,10,0,0,26,9,0,0,1,0,1,0,0,0,0,0,0,0
43,鐵盾刺(8-12),,9784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
44,吸收(10),,7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
63,吸收(25),,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
64,+3精神,,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
65,+1所有抗性,,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
66,+1耐力,,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
67,+1傷害,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
68,+1力量,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
69,+2力量,,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
70,+3力量,,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
72,+2耐力,,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
73,+3耐力,,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
74,+1敏捷,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
75,+2敏捷,,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
76,+3敏捷,,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
77,+2傷害,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
78,+3傷害,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
79,+1智力,,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
80,+2智力,,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
81,+3智力,,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
82,+1精神,,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
83,+2精神,,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
85,+3護甲,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
86,+8護甲,,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
87,+12護甲,,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
88,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89,+16護甲,,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
90,+4敏捷,,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
91,+5敏捷,,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
92,+6敏捷,,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
93,+7敏捷,,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
94,+4智力,,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
95,+5智力,,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
96,+6智力,,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
97,+7智力,,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
98,+4精神,,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
99,+5精神,,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
100,+6精神,,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
101,+7精神,,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
102,+4耐力,,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
103,+5耐力,,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
104,+6耐力,,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
105,+7耐力,,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
106,+4力量,,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
107,+5力量,,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
108,+6力量,,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
109,+7力量,,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
110,+1防禦等級,,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
111,+2防禦等級,,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
112,+3防禦等級,,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
113,+4防禦等級,,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
115,+6防禦等級,,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
116,+7防禦等級,,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
117,+4傷害,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
118,+5傷害,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
119,+6傷害,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
120,+7傷害,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
121,+20護甲,,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
122,+24護甲,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
123,+28護甲,,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
124,火舌圖騰1,,8253,0,0,0,0,0,0,0,0,0,100,0,0,32,7,0,0,1,0,1,0,0,0,0,0,0,0
125,+1劍技能,,7520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
126,+2劍技能,,7522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
127,+3劍技能,,7523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
128,+4劍技能,,7524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
129,+5劍技能,,7525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
130,+6劍技能,,7526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
131,+7劍技能,,7527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
132,+1雙手劍技能,,7529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
133,+2雙手劍技能,,7561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
134,+3雙手劍技能,,7562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
135,+4雙手劍技能,,7563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
136,+5雙手劍技能,,7564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
137,+6雙手劍技能,,7565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
138,+7雙手劍技能,,7566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
139,+1錘技能,,7532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
140,+2錘技能,,7543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
