ID,Name_lang,HordeName_lang,Charges,Effect_0,Effect_1,Effect_2,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMax_0,EffectPointsMax_1,EffectPointsMax_2,EffectArg_0,EffectArg_1,EffectArg_2,ItemVisual,Flags,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,ScalingClass,Field_4_4_0_53750_011,GemItemID,Condition_ID,RequiredSkillID,RequiredSkillRank,MinLevel,Field_4_4_0_53750_017,Field_4_4_0_53750_018,ItemLevel,Field_4_4_0_53750_020,Field_4_4_0_53750_021
1,"Felsbeißer 3",,0,6,0,0,6,0,0,6,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Frostbrand,,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,"Flammenzunge 3",,0,3,0,0,100,0,0,100,0,0,15568,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,"Flammenzunge 2",,0,3,0,0,100,0,0,100,0,0,15567,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Flammenzunge,,0,3,0,0,100,0,0,100,0,0,10400,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,"Felsbeißer 2",,0,6,0,0,4,0,0,4,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,"Tödliches Gift",,0,1,0,0,30,0,0,30,0,0,2818,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,"Tödliches Gift II",,0,1,0,0,30,0,0,30,0,0,2819,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,"Gift (15 Schaden)",,0,1,0,0,30,0,0,30,0,0,2820,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,"Gift (20 Schaden)",,0,1,0,0,30,0,0,30,0,0,2821,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"Gift (25 Schaden)",,0,1,0,0,30,0,0,30,0,0,2822,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,"Frostbrand 2",,0,1,0,0,0,0,0,0,0,0,8037,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,"Geschärft (+3 Schaden)",,0,2,0,0,3,0,0,3,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
14,"Geschärft (+4 Schaden)",,0,2,0,0,4,0,0,4,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
15,"Verstärkt (+8 Rüstung)",,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,"Verstärkt (+16 Rüstung)",,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
17,"Verstärkt (+24 Rüstung)",,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18,"Verstärkt (+32 Rüstung)",,0,4,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
19,"Beschwert (+2 Schaden)",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,"Beschwert (+3 Schaden)",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,"Beschwert (+4 Schaden)",,0,2,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
22,"Verkrüppelndes Gift",,0,1,0,0,50,0,0,50,0,0,3409,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,"Gedankenbenebelndes Gift II",,0,1,0,0,20,0,0,20,0,0,8692,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,"+5 Mana",,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Schattenöl,,0,1,0,0,15,0,0,15,0,0,14122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
26,Frostöl,,0,1,0,0,10,0,0,10,0,0,96089,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
27,Zerrissen,,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,"+4 alle Widerstandsarten",,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,"Felsbeißer 1",,0,6,0,0,2,0,0,2,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,"Zielfernrohr (+1 Schaden)",,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
