ID,Name_lang,HordeName_lang,Charges,Effect_0,Effect_1,Effect_2,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMax_0,EffectPointsMax_1,EffectPointsMax_2,EffectArg_0,EffectArg_1,EffectArg_2,ItemVisual,Flags,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,ScalingClass,Field_4_4_0_53750_011,GemItemID,Condition_ID,RequiredSkillID,RequiredSkillRank,MinLevel,Field_4_4_0_53750_017,Field_4_4_0_53750_018,ItemLevel,Field_4_4_0_53750_020,Field_4_4_0_53750_021
1,"Croque-roc 3",,0,6,0,0,6,0,0,6,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,"Arme de givre",,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,"Langue de feu 3",,0,3,0,0,100,0,0,100,0,0,15568,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,"Langue de feu 2",,0,3,0,0,100,0,0,100,0,0,15567,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,"Langue de feu",,0,3,0,0,100,0,0,100,0,0,10400,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,"Croque-roc 2",,0,6,0,0,4,0,0,4,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,"Poison mortel",,0,1,0,0,30,0,0,30,0,0,2818,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,"Poison mortel II",,0,1,0,0,30,0,0,30,0,0,2819,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,"Poison (15 points de dégâts)",,0,1,0,0,30,0,0,30,0,0,2820,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,"Poison (20 points de dégâts)",,0,1,0,0,30,0,0,30,0,0,2821,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"Poison (25 points de dégâts)",,0,1,0,0,30,0,0,30,0,0,2822,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,"Arme de givre 2",,0,1,0,0,0,0,0,0,0,0,8037,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,"Aiguisé (+3 points de dégâts)",,0,2,0,0,3,0,0,3,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
14,"Aiguisé (+4 points de dégâts)",,0,2,0,0,4,0,0,4,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
15,"Renforcé (+8 Armure)",,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,"Renforcé (+16 Armure)",,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
17,"Renforcé (+24 Armure)",,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18,"Renforcé (+32 Armure)",,0,4,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
19,"Équilibré (+2 points de dégâts)",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,"Équilibré (+3 points de dégâts)",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,"Équilibré (+4 points de dégâts)",,0,2,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
22,"Poison affaiblissant",,0,1,0,0,50,0,0,50,0,0,3409,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,"Poison de distraction mentale II",,0,1,0,0,20,0,0,20,0,0,8692,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,"+5 aux points de mana",,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,"Huile des ténèbres",,0,1,0,0,15,0,0,15,0,0,14122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
26,"Huile glaciale",,0,1,0,0,10,0,0,10,0,0,96089,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
27,Fractionnement,,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,"+4 à toutes les résistances",,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,"Croque-roc 1",,0,6,0,0,2,0,0,2,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,"Lunette (+1 point de dégâts)",,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
31,"+4 Tueur de bêtes",,0,3,0,0,0,0,0,0,0,0,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,"Lunette (+2 points de dégâts)",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0
33,"Lunette (+3 points de dégâts)",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0
34,"Contrepoids (+20 au score de hâte)",,0,5,0,0,20,0,0,20,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,"Poison de Distraction mentale",,0,1,0,0,50,0,0,50,0,0,5760,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,"Enchanter : Eclat flamboyant",,0,1,0,0,15,0,0,15,0,0,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,"Dragonne en acier",,0,3,0,0,0,0,0,0,0,0,43588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,"+5 au score d'esquive",,0,5,0,0,5,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,"Aiguisé (+1 points de dégâts)",,0,3,0,0,0,0,0,0,0,0,26596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,"Aiguisé (+2 points de dégâts)",,0,2,0,0,2,0,0,2,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,"+5 points de vie",,0,5,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,"Poison (Instantané 20)",,0,1,0,0,20,0,0,20,0,0,6647,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,"Pointe en fer (8-12)",,0,3,0,0,0,0,0,0,0,0,9784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,"Absorption (10)",,0,3,0,0,0,0,0,0,0,0,7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,"Absorption (25)",,0,3,0,0,0,0,0,0,0,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,"+3 Esprit",,0,5,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,"+1 à toutes les résistances",,0,3,0,0,0,0,0,0,0,0,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,"+1 Endurance",,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,"+1 point de dégâts",,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"+1 Force",,0,5,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"+2 Force",,0,5,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"+3 Force",,0,5,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"+1 Endurance",,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"+2 Endurance",,0,5,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"+3 Endurance",,0,5,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"+1 Agilité",,0,5,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"+2 Agilité",,0,5,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"+3 Agilité",,0,5,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"+2 points de dégâts",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"+3 points de dégâts",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"+1 Intelligence",,0,5,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"+2 Intelligence",,0,5,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"+3 Intelligence",,0,5,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
