ID,Name_lang,HordeName_lang,Charges,Effect_0,Effect_1,Effect_2,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMax_0,EffectPointsMax_1,EffectPointsMax_2,EffectArg_0,EffectArg_1,EffectArg_2,ItemVisual,Flags,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,ScalingClass,Field_4_4_0_53750_011,GemItemID,Condition_ID,RequiredSkillID,RequiredSkillRank,MinLevel,Field_4_4_0_53750_017,Field_4_4_0_53750_018,ItemLevel,Field_4_4_0_53750_020,Field_4_4_0_53750_021
1,"Камнедробитель 3",,0,6,0,0,6,0,0,6,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,"Ледяное клеймо",,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,"Язык пламени 3",,0,3,0,0,100,0,0,100,0,0,15568,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,"Язык пламени 2",,0,3,0,0,100,0,0,100,0,0,15567,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,"Язык пламени",,0,3,0,0,100,0,0,100,0,0,10400,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,"Камнедробитель 2",,0,6,0,0,4,0,0,4,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,"Смертельный яд",,0,1,0,0,30,0,0,30,0,0,2818,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,"Cмертельный яд II",,0,1,0,0,30,0,0,30,0,0,2819,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,"Яд (15 ед. урона)",,0,1,0,0,30,0,0,30,0,0,2820,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,"Яд (20 ед. урона)",,0,1,0,0,30,0,0,30,0,0,2821,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"Яд (25 ед. урона)",,0,1,0,0,30,0,0,30,0,0,2822,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,"Ледяное клеймо 2",,0,1,0,0,0,0,0,0,0,0,8037,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,"Оружие заточено (+3 к урону)",,0,2,0,0,3,0,0,3,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
14,"Оружие заточено (+4 к урону)",,0,2,0,0,4,0,0,4,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
15,"Доспех усилен (+8 к броне)",,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,"Доспех усилен (+16 к броне)",,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
17,"Доспех усилен (+24 к броне)",,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18,"Доспех усилен (+32 к броне)",,0,4,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
19,"Оружие утяжелено (+2 к урону)",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,"Оружие утяжелено (+3 к урону)",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,"Оружие утяжелено (+4 к урону)",,0,2,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
22,"Калечащий яд",,0,1,0,0,50,0,0,50,0,0,3409,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,"Дурманящий яд II",,0,1,0,0,20,0,0,20,0,0,8692,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,"+5 к мане",,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,"Масло Тьмы",,0,1,0,0,15,0,0,15,0,0,14122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
26,"Масло льда",,0,1,0,0,10,0,0,10,0,0,96089,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
