ID,Name_lang,HordeName_lang,Charges,Effect_0,Effect_1,Effect_2,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMax_0,EffectPointsMax_1,EffectPointsMax_2,EffectArg_0,EffectArg_1,EffectArg_2,ItemVisual,Flags,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,ScalingClass,Field_4_4_0_53750_011,GemItemID,Condition_ID,RequiredSkillID,RequiredSkillRank,MinLevel,Field_4_4_0_53750_017,Field_4_4_0_53750_018,ItemLevel,Field_4_4_0_53750_020,Field_4_4_0_53750_021
1,"石化 3",,0,6,0,0,6,0,0,6,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,冰封,,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,"火舌 3",,0,3,0,0,100,0,0,100,0,0,15568,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,"火舌 2",,0,3,0,0,100,0,0,100,0,0,15567,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,火舌,,0,3,0,0,100,0,0,100,0,0,10400,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,"石化 2",,0,6,0,0,4,0,0,4,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,致命药膏,,0,1,0,0,30,0,0,30,0,0,2818,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,"致命药膏 II",,0,1,0,0,30,0,0,30,0,0,2819,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,药膏（15伤害）,,0,1,0,0,30,0,0,30,0,0,2820,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,药膏（20伤害）,,0,1,0,0,30,0,0,30,0,0,2821,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,药膏（25伤害）,,0,1,0,0,30,0,0,30,0,0,2822,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,"冰封 2",,0,1,0,0,0,0,0,0,0,0,8037,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,"磨快（+3 伤害）",,0,2,0,0,3,0,0,3,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
14,"磨快（+4 伤害）",,0,2,0,0,4,0,0,4,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
15,"加固（+8 护甲）",,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,"加固（+16 护甲）",,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
17,"加固（+24 护甲）",,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18,"加固（+32 护甲）",,0,4,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
19,"增重（+2 伤害）",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,"增重（+3 伤害）",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,"增重（+4 伤害）",,0,2,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
22,减速药膏,,0,1,0,0,50,0,0,50,0,0,3409,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,"麻痹药膏 II",,0,1,0,0,20,0,0,20,0,0,8692,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,"+5 法力值",,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,暗影之油,,0,1,0,0,15,0,0,15,0,0,14122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
26,冰霜之油,,0,1,0,0,10,0,0,10,0,0,96089,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
27,破甲,,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,"+4 所有抗性",,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,"石化 1",,0,6,0,0,2,0,0,2,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,"瞄准镜（+1 伤害）",,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
31,"+4 屠兽",,0,3,0,0,0,0,0,0,0,0,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,"瞄准镜（+2 伤害）",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0
33,"瞄准镜（+3 伤害）",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0
34,平衡锤（+20急速等级）,,0,5,0,0,20,0,0,20,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,麻痹药膏,,0,1,0,0,50,0,0,50,0,0,5760,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,附魔：火焰,,0,1,0,0,15,0,0,15,0,0,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,钢质武器链,,0,3,0,0,0,0,0,0,0,0,43588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,"+5 躲闪等级",,0,5,0,0,5,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,"磨快（+1 伤害）",,0,3,0,0,0,0,0,0,0,0,26596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,"磨快（+2 伤害）",,0,2,0,0,2,0,0,2,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,"+5 生命值",,0,5,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,药膏（速效20）,,0,1,0,0,20,0,0,20,0,0,6647,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,铁盾刺（8-12）,,0,3,0,0,0,0,0,0,0,0,9784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,吸收（10）,,0,3,0,0,0,0,0,0,0,0,7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,吸收（25）,,0,3,0,0,0,0,0,0,0,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,"+3 精神",,0,5,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,"+1 所有抗性",,0,3,0,0,0,0,0,0,0,0,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,"+1 耐力",,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,"+1 伤害",,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"+1 力量",,0,5,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"+2 力量",,0,5,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"+3 力量",,0,5,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"+1 耐力",,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"+2 耐力",,0,5,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"+3 耐力",,0,5,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"+1 敏捷",,0,5,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"+2 敏捷",,0,5,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"+3 敏捷",,0,5,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"+2 伤害",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"+3 伤害",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"+1 智力",,0,5,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"+2 智力",,0,5,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"+3 智力",,0,5,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"+1 精神",,0,5,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"+2 精神",,0,5,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"+3 精神",,0,5,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"+3 护甲",,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"+8 护甲",,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"+12 护甲",,0,4,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"+16 护甲",,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"+4 敏捷",,0,5,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"+5 敏捷",,0,5,0,0,5,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"+6 敏捷",,0,5,0,0,6,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"+7 敏捷",,0,5,0,0,7,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"+4 智力",,0,5,0,0,4,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"+5 智力",,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"+6 智力",,0,5,0,0,6,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"+7 智力",,0,5,0,0,7,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"+4 精神",,0,5,0,0,4,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"+5 精神",,0,5,0,0,5,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"+6 精神",,0,5,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"+7 精神",,0,5,0,0,7,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"+4 耐力",,0,5,0,0,4,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"+5 耐力",,0,5,0,0,5,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"+6 耐力",,0,5,0,0,6,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"+7 耐力",,0,5,0,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"+4 力量",,0,5,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
