ID,Name_lang,HordeName_lang,Charges,Effect_0,Effect_1,Effect_2,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMax_0,EffectPointsMax_1,EffectPointsMax_2,EffectArg_0,EffectArg_1,EffectArg_2,ItemVisual,Flags,EffectScalingPoints_0,EffectScalingPoints_1,EffectScalingPoints_2,ScalingClass,Field_4_4_0_53750_011,GemItemID,Condition_ID,RequiredSkillID,RequiredSkillRank,MinLevel,Field_4_4_0_53750_017,Field_4_4_0_53750_018,ItemLevel,Field_4_4_0_53750_020,Field_4_4_0_53750_021
1,石化3,,0,6,0,0,6,0,0,6,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,冰封武器,,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,火舌3,,0,3,0,0,100,0,0,100,0,0,15568,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,火舌2,,0,3,0,0,100,0,0,100,0,0,15567,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,火舌武器,,0,3,0,0,100,0,0,100,0,0,10400,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,石化2,,0,6,0,0,4,0,0,4,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,致命毒藥,,0,1,0,0,30,0,0,30,0,0,2818,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,"致命毒藥 II",,0,1,0,0,30,0,0,30,0,0,2819,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,毒藥(15傷害),,0,1,0,0,30,0,0,30,0,0,2820,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,毒藥(20傷害),,0,1,0,0,30,0,0,30,0,0,2821,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,毒藥(25傷害),,0,1,0,0,30,0,0,30,0,0,2822,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,冰封2,,0,1,0,0,0,0,0,0,0,0,8037,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,磨利(+3傷害),,0,2,0,0,3,0,0,3,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
14,磨利(+4傷害),,0,2,0,0,4,0,0,4,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
15,+8強化護甲,,0,4,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,+16強化護甲,,0,4,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
17,+24強化護甲,,0,4,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18,+32強化護甲,,0,4,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
19,增重(+2傷害),,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,增重(+3傷害),,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,增重(+4傷害),,0,2,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
22,致殘毒藥,,0,1,0,0,50,0,0,50,0,0,3409,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,"麻痺毒藥 II",,0,1,0,0,20,0,0,20,0,0,8692,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,+5法力,,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,暗影之油,,0,1,0,0,15,0,0,15,0,0,14122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
26,冰霜之油,,0,1,0,0,10,0,0,10,0,0,96089,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
27,破甲,,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,+4所有抗性,,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,石化1,,0,6,0,0,2,0,0,2,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,瞄準鏡(+1傷害),,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
31,+4屠獸,,0,3,0,0,0,0,0,0,0,0,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,瞄準鏡(+2傷害),,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0
33,瞄準鏡(+3傷害),,0,2,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0
34,平衡錘(+20加速等級),,0,5,0,0,20,0,0,20,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,麻痺毒藥,,0,1,0,0,50,0,0,50,0,0,5760,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,附魔:熾炎,,0,1,0,0,15,0,0,15,0,0,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,鋼質武器鍊,,0,3,0,0,0,0,0,0,0,0,43588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,+5閃躲等級,,0,5,0,0,5,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,磨利(+1傷害),,0,3,0,0,0,0,0,0,0,0,26596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,磨利(+2傷害),,0,2,0,0,2,0,0,2,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,+5生命力,,0,5,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,毒藥(速效20),,0,1,0,0,20,0,0,20,0,0,6647,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
