ID,Name_lang,HordeName_lang,Charges,Effect_0,Effect_1,Effect_2,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMax_0,EffectPointsMax_1,EffectPointsMax_2,EffectArg_0,EffectArg_1,EffectArg_2,ItemVisual,Flags,Field_1_15_3_55112_009_0,Field_1_15_3_55112_009_1,Field_1_15_3_55112_009_2,Field_1_15_3_55112_010,ScalingClassRestricted,Field_1_15_3_55112_012,Field_1_15_3_55112_013,Field_1_15_3_55112_014,Field_1_15_3_55112_015,MinLevel,MaxLevel,Field_1_15_3_55112_018,ItemLevel,Field_1_15_3_55112_020,Field_1_15_3_55112_021
2,"냉기의 무기",,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,"불꽃의 무기",,0,3,0,0,100,0,0,100,0,0,10400,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,"무기 연마 (공격력 +$k1)",,0,2,0,0,3,0,0,3,0,0,0,0,0,28,33,1,0,0,-1,0,0,0,0,0,0,1,0,5,0,0
14,"무기 연마 (공격력 +$k1)",,0,2,0,0,4,0,0,4,0,0,0,0,0,28,33,0.36370000243,0,0,-1,0,0,0,0,0,0,15,0,15,0,0
15,"방어도 보강 (방어도 +$k1)",,0,4,0,0,8,0,0,8,0,0,0,0,0,0,32,1.33299994469,0,0,-4,0,0,0,0,0,0,60,0,1,0,0
16,"방어도 보강 (방어도 +$k1)",,0,4,0,0,16,0,0,16,0,0,0,0,0,0,32,2.66599988937,0,0,-4,0,0,0,0,0,0,60,0,5,0,0
17,"방어도 보강 (방어도 +$k1)",,0,4,0,0,24,0,0,24,0,0,0,0,0,0,32,4,0,0,-4,0,0,0,0,0,0,60,0,20,0,0
18,"방어도 보강 (방어도 +$k1)",,0,4,0,0,32,0,0,32,0,0,0,0,0,0,32,5.33300018311,0,0,-4,0,0,0,0,0,0,60,0,30,0,0
19,"무게 증강 (공격력 +$k1)",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,33,0.66670000553,0,0,-1,0,0,0,0,0,0,1,0,1,0,0
20,"무게 증강 (공격력 +$k1)",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,33,1,0,0,-1,0,0,0,0,0,0,1,0,1,0,0
21,"무게 증강 (공격력 +$k1)",,0,2,0,0,4,0,0,4,0,0,0,0,0,0,33,0.36370000243,0,0,-1,0,0,0,0,0,0,15,0,15,0,0
24,"마나 +$k1",,0,5,0,0,5,0,0,5,0,0,0,0,0,0,32,0.83300000429,0,0,-4,0,0,0,0,0,0,60,0,1,0,0
25,"암흑 기름",,0,1,0,0,15,0,0,15,0,0,14122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0
26,"냉기 기름",,0,1,0,0,10,0,0,10,0,0,96089,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
27,부서짐,,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,"모든 저항력 +4",,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,"조준경 (공격력 +$k1)",,0,2,0,0,1,0,0,1,0,0,0,0,0,0,32,0.16599999368,0,0,-4,0,0,0,0,0,0,60,0,5,0,0
31,"야수 사냥 +4",,0,3,0,0,0,0,0,0,0,0,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,"조준경 (공격력 +$k1)",,0,2,0,0,2,0,0,2,0,0,0,0,0,0,32,0.33300000429,0,0,-4,0,0,0,0,0,0,60,0,10,0,0
33,"조준경 (공격력 +$k1)",,0,2,0,0,3,0,0,3,0,0,0,0,0,0,33,0.5,0,0,-4,0,0,0,0,0,0,60,0,20,0,0
