ID,Name_lang,HordeName_lang,Charges,Effect_0,Effect_1,Effect_2,EffectPointsMin_0,EffectPointsMin_1,EffectPointsMin_2,EffectPointsMax_0,EffectPointsMax_1,EffectPointsMax_2,EffectArg_0,EffectArg_1,EffectArg_2,ItemVisual,Flags,Field_1_15_3_55112_009_0,Field_1_15_3_55112_009_1,Field_1_15_3_55112_009_2,Field_1_15_3_55112_010,ScalingClassRestricted,Field_1_15_3_55112_012,Field_1_15_3_55112_013,Field_1_15_3_55112_014,Field_1_15_3_55112_015,MinLevel,MaxLevel,Field_1_15_3_55112_018,ItemLevel,Field_1_15_3_55112_020,Field_1_15_3_55112_021
2,冰封武器,,0,1,0,0,0,0,0,0,0,0,8034,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,火舌武器,,0,3,0,0,100,0,0,100,0,0,10400,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,磨利(+$k1傷害),,0,2,0,0,3,0,0,3,0,0,0,0,0,28,33,1,0,0,-1,0,0,0,0,0,0,1,0,5,0,0
14,磨利(+$k1傷害),,0,2,0,0,4,0,0,4,0,0,0,0,0,28,33,0.36370000243,0,0,-1,0,0,0,0,0,0,15,0,15,0,0
15,+$k1強化護甲,,0,4,0,0,8,0,0,8,0,0,0,0,0,0,32,1.33299994469,0,0,-4,0,0,0,0,0,0,60,0,1,0,0
16,+$k1強化護甲,,0,4,0,0,16,0,0,16,0,0,0,0,0,0,32,2.66599988937,0,0,-4,0,0,0,0,0,0,60,0,5,0,0
17,+$k1強化護甲,,0,4,0,0,24,0,0,24,0,0,0,0,0,0,32,4,0,0,-4,0,0,0,0,0,0,60,0,20,0,0
18,+$k1強化護甲,,0,4,0,0,32,0,0,32,0,0,0,0,0,0,32,5.33300018311,0,0,-4,0,0,0,0,0,0,60,0,30,0,0
19,增重(+$k1傷害),,0,2,0,0,2,0,0,2,0,0,0,0,0,0,33,0.66670000553,0,0,-1,0,0,0,0,0,0,1,0,1,0,0
20,增重(+$k1傷害),,0,2,0,0,3,0,0,3,0,0,0,0,0,0,33,1,0,0,-1,0,0,0,0,0,0,1,0,1,0,0
21,增重(+$k1傷害),,0,2,0,0,4,0,0,4,0,0,0,0,0,0,33,0.36370000243,0,0,-1,0,0,0,0,0,0,15,0,15,0,0
24,+$k1法力,,0,5,0,0,5,0,0,5,0,0,0,0,0,0,32,0.83300000429,0,0,-4,0,0,0,0,0,0,60,0,1,0,0
25,暗影之油,,0,1,0,0,15,0,0,15,0,0,14122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0
26,冰霜之油,,0,1,0,0,10,0,0,10,0,0,96089,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
27,破甲,,0,2,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,+4所有抗性,,0,3,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,瞄準鏡(+$k1傷害),,0,2,0,0,1,0,0,1,0,0,0,0,0,0,32,0.16599999368,0,0,-4,0,0,0,0,0,0,60,0,5,0,0
31,+4屠獸,,0,3,0,0,0,0,0,0,0,0,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,瞄準鏡(+$k1傷害),,0,2,0,0,2,0,0,2,0,0,0,0,0,0,32,0.33300000429,0,0,-4,0,0,0,0,0,0,60,0,10,0,0
33,瞄準鏡(+$k1傷害),,0,2,0,0,3,0,0,3,0,0,0,0,0,0,33,0.5,0,0,-4,0,0,0,0,0,0,60,0,20,0,0
34,平衡錘(+$k1加速),,0,5,0,0,20,0,0,20,0,0,36,0,0,0,32,3.33299994469,0,0,-4,0,0,0,0,0,0,60,0,1,0,0
36,附魔:熾炎,,0,1,0,0,15,0,0,15,0,0,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,鋼質武器鍊,,0,3,0,0,0,0,0,0,0,0,43588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,+$k1閃躲,,0,5,0,0,5,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,磨利(+$k1傷害),,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,磨利(+$k1傷害),,0,2,0,0,2,0,0,2,0,0,0,0,0,28,33,0.67000001669,0,0,-1,0,0,0,0,0,0,1,0,1,0,0
41,+$k1生命力,,0,5,0,0,5,0,0,5,0,0,1,0,0,0,32,0.83300000429,0,0,-4,0,0,0,0,0,0,60,0,1,0,0
43,鐵盾刺(8-12),,0,3,0,0,0,0,0,0,0,0,9784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,吸收($7423s1),,0,3,0,0,0,0,0,0,0,0,7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,吸收($7447s1),,0,3,0,0,0,0,0,0,0,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,+$k1精神,,0,5,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,+$7452s1所有抗性,,0,3,0,0,0,0,0,0,0,0,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,+$k1耐力,,0,5,0,0,1,0,0,1,0,0,7,0,0,0,32,0.16599999368,0,0,-4,0,0,0,0,0,0,60,0,1,0,0
67,+$k1傷害,,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,+$k1力量,,0,5,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,+$k1力量,,0,5,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,+$k1力量,,0,5,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,+$k1耐力,,0,5,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,+$k1耐力,,0,5,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
